ID,Common_Name,Scientific_Name,Group_Family,Ecosystem_Habitat,Conservation_Status,Dominant_Threats,Conservation_Suggestions,Source_File
272,Java Rabbitfish,Siganus javus,Siganidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and mangroves, often in turbid water.",Least Concern.,Habitat destruction of mangroves and estuaries.,Protecting coastal and estuarine habitats.,aquaticlife dataset.docx
273,Black Bream (Black Sea Bream),Acanthopagrus berda,Sparidae (Marine Fish),"Brackish/Marine. Highly tolerant of salinity changes; found in coastal waters, estuaries, and even the lower reaches of rivers.",Least Concern.,Habitat degradation in estuaries (crucial nursery areas) due to pollution and development.,Protection of estuarine habitats.,aquaticlife dataset.docx
274,White Grunt (Silver Grunt),Pomadasys hasta,Haemulidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and turbid areas, often over sand or mud bottoms.",Least Concern.,Overfishing and coastal habitat degradation.,Sustainable fishing practices.,aquaticlife dataset.docx
275,Spotted Grunt,Pomadasys kaakan,Haemulidae (Marine Fish),"Marine. Found in coastal and estuarine waters, often over muddy or sandy bottoms.",Least Concern.,Overfishing and coastal pollution.,Monitoring fishing efforts in coastal areas.,aquaticlife dataset.docx
276,Tigertooth Croaker,Otolithes ruber,Sciaenidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and offshore over sand or mud bottoms. Highly valued for its swim bladder (fish maw).",Least Concern.,"Intense fishing pressure is the main threat, driven largely by the high value of its swim bladder.",Implementing size limits and managing the fishing effort on this stock.,aquaticlife dataset.docx
277,Jewfish (Blackmouth Croaker),Pseudosciaena diacanthus (Synonym for Protonibea diacanthus),Sciaenidae (Marine Fish),"Marine. A large, predatory fish found in coastal and offshore waters, often near estuaries. Prized for its swim bladder and meat.",Near Threatened (The related Giant Croaker is of high concern).,"Extreme fishing pressure due to the very high commercial value of its swim bladder (often called ""sea gold"").","Urgent regional management plans, including size and catch limits, to prevent overfishing of the breeding stock.",aquaticlife dataset.docx
278,Karut Croaker,Johnius carutta,Sciaenidae (Marine Fish),"Marine. Found in shallow coastal waters and estuaries, often over muddy substrates.",Least Concern.,Heavy fishing pressure due to its commercial value.,Monitoring coastal fishing activities.,aquaticlife dataset.docx
279,Marbled Electric Ray,Torpedo marmorata,Torpedinidae (Marine Fish),Marine. Found on sandy or muddy bottoms in coastal waters. Known for its ability to produce electric shocks for defense and stunning prey.,Vulnerable.,Bycatch in bottom trawling and gillnet fisheries is the main threat.,Reducing fishing efforts in sensitive coastal areas and promoting safer fishing gear.,aquaticlife dataset.docx
280,Granulated Shovelnose Ray,Rhinobatos granulatus,Rhinobatidae (Marine Fish),Marine. Found on sandy and muddy bottoms in coastal waters and continental shelves.,Vulnerable.,"High fishing pressure from trawlers and gillnets, as its slow reproductive rate makes it highly susceptible to overfishing.",Implementing conservation measures for elasmobranchs (sharks and rays) and protecting coastal habitats.,aquaticlife dataset.docx
281,Arabian Houndshark,Mustelus mosis,Triakidae (Marine Fish),"Marine. Found in coastal and shelf waters, usually over sandy or muddy bottoms.",Vulnerable.,"Intense fishing pressure from bottom trawling and gillnets, as it is a slow-reproducing species susceptible to overexploitation.",Implementing and enforcing strict fishing quotas and protected areas.,aquaticlife dataset.docx
282,Spot-tail Shark,Carcharhinus sorrah,Carcharhinidae (Marine Fish),Marine. Found in coastal waters on the continental and insular shelves.,Vulnerable.,Intense fishing pressure due to its valuable fins and meat. Susceptible to bycatch in commercial fisheries.,Implementing strict fishing quotas and protecting areas important for reproduction.,aquaticlife dataset.docx
283,Spadenose Shark,Scoliodon laticaudus,Carcharhinidae (Marine Fish),"Marine. A small, schooling shark found in shallow, muddy coastal waters and estuaries.",Near Threatened.,High fishing pressure as it's a common catch in coastal fisheries. Its coastal habitat also faces significant degradation.,Monitoring fishing pressure and protecting coastal nursery areas.,aquaticlife dataset.docx
284,Reticulate Whipray,Himantura uarnak,Dasyatidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and coral reefs.",Vulnerable.,Heavy fishing pressure and habitat loss of coastal and estuarine environments. Its slow reproductive rate makes it highly vulnerable.,Regulating fishing and protecting coastal and estuarine habitats.,aquaticlife dataset.docx
285,Marbled Balloon Frog,Uperodon systoma,Microhylidae (Amphibian),"Freshwater (Terrestrial). A burrowing frog found in grasslands, scrublands, and agricultural fields near water bodies. Often surfaces during monsoon rains.",Least Concern.,Habitat loss due to conversion of grasslands and agricultural areas.,None specifically required; it is widespread and adaptable.,aquaticlife dataset.docx
286,Major Wrinkled Frog,Nyctibatrachus major,Nyctibatrachidae (Amphibian),Freshwater (Endemic). Found exclusively in moist evergreen forests and associated streams of the Western Ghats.,Vulnerable.,Habitat loss and fragmentation due to deforestation and land use change. Pollution of forest streams.,Protecting its specific forest and stream micro-habitats within the Western Ghats.,aquaticlife dataset.docx
287,Malabar Gliding Frog,Rhacophorus malabaricus,Rhacophoridae (Amphibian),Moist Forest. An arboreal (tree-dwelling) frog found in the tropical moist evergreen forests of the Western Ghats. Known for its ability to glide between trees.,Least Concern.,Habitat loss and fragmentation due to the conversion of forests into plantations.,Protecting canopy cover and maintaining forest corridors.,aquaticlife dataset.docx
288,Honnametti Bush Frog,Raorchestes honnametti,Rhacophoridae (Amphibian),Moist Forest (Endemic). Found in montane evergreen and shola forests of the Western Ghats.,"Data Deficient (Recently described, but likely highly vulnerable).",Habitat loss due to climate change affecting high-elevation shola forests and agricultural expansion.,Urgent habitat protection and further research to determine its range and population size.,aquaticlife dataset.docx
289,Ornate Narrow-mouthed Frog,Microhyla ornata,Microhylidae (Amphibian),"Freshwater (Terrestrial). Found in grasslands, cultivated fields, and open forests, breeding in temporary pools.",Least Concern.,None major; it is widespread and adaptable.,None specifically needed.,aquaticlife dataset.docx
290,Freshwater Garfish,Xenentodon cancila,Belonidae (Freshwater Fish),"Freshwater. Found in stagnant or slow-moving water bodies like ponds, canals, and ditches, usually among vegetation.",Least Concern.,Habitat loss due to the draining of wetlands and pollution.,Protecting wetland habitats.,aquaticlife dataset.docx
291,Striped Panchax,Aplocheilus lineatus,Aplocheilidae (Freshwater Fish),"Freshwater (Ornamental). Found in slow-moving or stagnant water bodies with vegetation, such as paddy fields and ditches.",Least Concern.,Collection for the ornamental fish trade and habitat degradation.,Sustainable management of collection for the pet trade.,aquaticlife dataset.docx
292,Green Panchax,Aplocheilus blockii,Aplocheilidae (Freshwater Fish),"Freshwater. Found in rice fields, ponds, and vegetated streams, often in slightly brackish water near the coast.",Least Concern.,Habitat loss and pollution.,None specifically needed.,aquaticlife dataset.docx
293,Soldier Catfish,Osteogeneiosus militaris,Ariidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and brackish lagoons. Known for its venomous dorsal and pectoral spines.",Least Concern.,Fishing pressure as it's often caught as bycatch.,None specifically required.,aquaticlife dataset.docx
294,Spotted Sardinella,Amblygaster sirm,Clupeidae (Marine Fish),"Marine. Found in coastal waters, forming large schools.",Least Concern.,High fishing pressure (major commercial species).,Sustainable fishery management.,aquaticlife dataset.docx
295,Rainbow Sardine,Dussumieria acuta,Clupeidae (Marine Fish),"Marine. Found in coastal and offshore waters, forming schools.",Least Concern.,Heavy fishing pressure.,Monitoring stock levels.,aquaticlife dataset.docx
296,Indian Pellona,Ilisha melastoma,Pristigasteridae (Marine Fish),Marine. Found in coastal waters and estuaries.,Least Concern.,Fishing pressure and coastal pollution.,Pollution control in coastal areas.,aquaticlife dataset.docx
297,Deep Pugnose Ponyfish,Secutor ruconius,Leiognathidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and mudflats.",Least Concern.,Heavy fishing pressure and coastal habitat degradation.,Monitoring stock levels.,aquaticlife dataset.docx
298,Indian Goatfish,Parupeneus indicus,Mullidae (Marine Fish),Marine. Found over sandy bottoms near coral reefs and rocky areas.,Least Concern.,Fishing pressure.,None specifically needed.,aquaticlife dataset.docx
299,Yellowstripe Goatfish,Upeneus vittatus,Mullidae (Marine Fish),"Marine. Found in coastal waters, sand flats, and coral reefs, foraging on the bottom.",Least Concern.,"Commercial fishing pressure, particularly from trawling.",Monitoring fishing efforts.,aquaticlife dataset.docx
300,Greater Lizardfish,Saurida tumbil,Synodontidae (Marine Fish),Marine. Found on sandy and muddy bottoms of the continental shelf in coastal and deeper waters.,Least Concern.,Trawl fishing pressure as it is often caught as bycatch.,Sustainable management of bottom trawling.,aquaticlife dataset.docx
