Species_Name,Scientific_Name,Class_Type,Group_Family,Ecosystem,Habitat_Details,Conservation_Status,IUCN_Status_Code,Dominant_Threat_Factor,Conservation_Suggestions_Detailed,N_Current_Pop_Size,r_Intrinsic_Growth_Rate,Es_Environmental_Stochasticity,Habitat_Quality_Index,Threat_Score_Pollution,Threat_Score_Overfishing,Threat_Score_ClimateChange,Overharvest_Rate,Conservation_Priority_Score
Wynaad Mahseer,Neolissochilus wynaadensis,Freshwater Fish,Cyprinidae,Freshwater (Endemic),"Found exclusively in clear, fast-flowing hill streams and rivers of the Wayanad region (Western Ghats).",Endangered,EN,"Habitat loss and fragmentation due to river damming, siltation from deforestation, and pollution from agricultural runoff",Urgent protection of its endemic river stretches. Regulating land use in the catchment areas to prevent siltation and pollution.,31037.71429,0.107963098,0.205063796,0.468166372,0.58567264,0.529923019,0.44968114,0.124579783,6.61
Pabo Catfish,Ompok pabo,Freshwater Fish,Siluridae,Freshwater,"Found in rivers and lakes, preferring deep pools with muddy bottoms. It is a highly valued food fish.",Vulnerable,VU,Overfishing due to high market price,Implementing fishing regulations and protecting its deep-water river and wetland habitats.,24242.42857,0.187026529,0.252229845,0.51260187,0.458073836,0.507101233,0.488735379,0.089202383,5.42
Red,Aorichthys aor,Freshwater Fish,Bagridae,Freshwater,"A large catfish found in main river channels and large reservoirs, preferring deep, clear water.",Near Threatened,NT,"Overfishing for its meat and habitat degradation in major river systems, including pollution and flow regulation from dams",Regulating fishing size limits and protecting the health of large rivers.,22887.28571,0.12978772,0.188936173,0.55796658,0.526459486,0.489934052,0.42268088,0.096975571,4.4
Children's Silond,Silonia childreni,Freshwater Fish,Schilbeidae,Freshwater,Found in large rivers and reservoirs in peninsular India. It is a schooling fish.,Least Concern,LC,Overfishing and habitat fragmentation due to river damming,Sustainable management of fishing and maintaining river connectivity.,24110.42857,0.131009464,0.158528774,0.768411695,0.395313527,0.420261267,0.734925929,0.145217641,3.58
Pangasius Catfish,Pangasius pangasius,Freshwater Fish,Pangasiidae,Freshwater,Found in large rivers and estuaries. It is a migratory species.,Vulnerable,VU,Habitat fragmentation from dams blocking migratory routes,Protecting migratory routes and controlling the illegal stocking of non-native Pangasianodon species.,35090.71429,0.088186148,0.154315217,0.481160739,0.493508229,0.558346742,0.465048323,0.111411712,5.53
Gogra Rita,Rita gogra,Freshwater Fish,Bagridae,Freshwater,Found in large rivers and deep pools.,Least Concern,LC,Overfishing and habitat degradation in major river systems,Promoting sustainable fishing practices.,17763.14286,0.141545691,0.169271019,0.582169603,0.335618299,0.583542062,0.588913826,0.117400622,3.51
Golden Rita,Rita chrysea,Freshwater Fish,Bagridae,Freshwater,Found in rivers in the Mahanadi River basin and surrounding areas.,Least Concern,LC,Habitat degradation and localized overfishing,None specifically required; monitoring local water quality.,27496.71429,0.130656085,0.207762656,0.724326884,0.544119274,0.397968572,0.490994973,0.147656675,3.39
Dussumier's Catfish,Clarias dussumieri,Freshwater Fish,Clariidae,Freshwater,Found in slow-moving or stagnant water bodies in the southern Western Ghats (Kerala). It is an air-breathing fish.,Vulnerable,VU,Habitat loss due to the draining of wetlands and competition,Protecting wetland habitats and controlling invasive catfish species.,25088.14286,0.155032892,0.124268187,0.528383537,0.593782163,0.501625042,0.49498475,0.163492486,5.65
Goonch Catfish,Bagarius yarrelli,Freshwater Fish,Sisoridae,Freshwater (Large Rivers),"A very large, predatory catfish found in the main channels of large, fast-flowing rivers.",Near Threatened,NT,Overfishing,Regulating fishing and protecting the health and flow of large river ecosystems.,25291.42857,0.127607661,0.189371199,0.724142906,0.599519406,0.505364364,0.591020343,0.126741495,4.83
Poona Sisorid,Glyptothorax poonaensis,Freshwater Fish,Sisoridae,Freshwater,Found in hill streams and rivers in the northern Western Ghats. It has a specialized adhesive structure on its chest to cling to rocks.,Least Concern,LC,Habitat degradation,"Protecting the fast-flowing, clear stream habitats.",21023.57143,0.139328662,0.187541748,0.681160981,0.60361198,0.317617094,0.474231385,0.101963725,3.33
Tank Goby,Glossogobius giuris,Freshwater Fish,Gobiidae,Freshwater,"Highly adaptable, found in rivers, lakes, reservoirs, and estuaries.",Least Concern,LC,None major,None specifically needed.,29836.14286,0.117854269,0.162809607,0.471308335,0.592164559,0.295808456,0.466564461,0.110231786,3.26
Asian Sea Bass,Lates calcarifer,Bhekti,Latidae,Brackish,"Brackish/Marine. Found in estuaries, coastal waters, rivers, and lagoons. Juveniles utilize mangrove areas.",Least Concern,LC,Overfishing and habitat loss in critical mangrove and estuarine nursery areas,Protecting estuarine and mangrove habitats.,23165.14286,0.136013324,0.187757584,0.752870807,0.504560807,0.494191884,0.420717337,0.149431445,3.37
Spotted Snapper,Lutjanus johnii,Marine Fish,Lutjanidae,Marine,"Found over rocky bottoms, coral reefs, and in estuaries.",Least Concern,LC,Overfishing and habitat degradation of coastal areas and estuaries,Monitoring fishing pressure and protecting key nursery habitats.,19918.57143,0.138087519,0.222647965,0.637676819,0.525995559,0.575186136,0.49415445,0.145795562,3.66
Areolate Grouper,Epinephelus areolatus,Marine Fish,Serranidae,Marine,Found over sandy and muddy bottoms near reefs and rocky areas in coastal waters.,Least Concern,LC,Fishing pressure from trawling and hook,Monitoring and regulating fishing pressure.,25293.14286,0.159789746,0.206731773,0.58276206,0.495538333,0.346708616,0.518318047,0.104446462,3.27
Orange,Epinephelus coioides,Marine Fish,Serranidae,Marine,"Found in coastal and offshore reefs, rocky areas, and estuaries.",Near Threatened,NT,Heavy fishing pressure and destruction of coral reef and mangrove habitats,Establishing Marine Protected Areas (MPAs) and implementing size limits.,27622.28571,0.069948335,0.200212652,0.549927226,0.49892783,0.35208449,0.409649864,0.118058437,4.1
King Mackerel,Scomberomorus commerson,Narrow-barred Spanish Mackerel,Scombridae,Marine,"A large, highly migratory, pelagic fish found in coastal and offshore waters.",Least Concern,LC,High commercial fishing pressure across its range,Regional cooperation on implementing fishing quotas and size limits.,26803.28571,0.141485712,0.226176763,0.521135408,0.283759653,0.45001432,0.726350919,0.127489258,3.43
Indo,Scomberomorus guttatus,Marine Fish,Scombridae,Marine,Found in coastal waters over the continental shelf.,Least Concern,LC,Heavy fishing pressure,Implementing size limits and managing fishing quotas.,26670.85714,0.146846145,0.202797418,0.560960644,0.415502449,0.405115014,0.491042605,0.181183188,3.19
Frigate Tuna,Auxis thazard,Marine Fish,Scombridae,Marine,"A small, schooling, pelagic fish found in coastal and offshore waters.",Least Concern,LC,High fishing pressure,Monitoring fishing effort.,29745.57143,0.129296695,0.20724955,0.545234234,0.564059417,0.557243156,0.434619956,0.148298606,3.59
Kawakawa,Euthynnus affinis,Little Tuna,Scombridae,Marine,"A fast-swimming, pelagic fish found in coastal and offshore waters, often in large schools.",Least Concern,LC,High fishing pressure,Monitoring stock levels to ensure sustainable harvest.,22706.42857,0.082494582,0.214303553,0.594603223,0.399999696,0.449349272,0.400323775,0.111950173,3.08
Giant Trevally,Caranx ignobilis,Marine Fish,Carangidae,Marine,"Found in reefs, open coastal waters, and estuaries. A large, predatory fish.",Least Concern,LC,Overfishing,Regulating fishing size and catch limits.,19795.28571,0.138859312,0.227358895,0.583670825,0.536913523,0.446522262,0.44899715,0.077191377,3.39
Yellowtail Scad,Atule mate,Marine Fish,Carangidae,Marine,"A schooling, pelagic fish found in coastal waters and around islands.",Least Concern,LC,Heavy fishing pressure,Monitoring catch levels to prevent overexploitation.,20676.57143,0.137631321,0.193768579,0.542909479,0.451479493,0.22349087,0.528816256,0.151108648,3.01
Splendid Ponyfish,Leiognathus splendens,Marine Fish,Leiognathidae,Marine,"Found in coastal waters, estuaries, and mudflats. It's a small, schooling fish commonly caught by trawlers.",Least Concern,LC,Heavy fishing pressure and coastal habitat degradation,Monitoring stock levels.,21996.14286,0.135395644,0.182237524,0.586421182,0.480332176,0.307737752,0.559471775,0.12302922,3.25
Bindus Ponyfish,Leiognathus bindus,Marine Fish,Leiognathidae,Marine,"Inhabits coastal and brackish waters, often found over muddy bottoms.",Least Concern,LC,Heavy fishing pressure and coastal pollution,Sustainable fishing practices in coastal areas.,31002,0.144019878,0.19112366,0.462972905,0.503893474,0.495231525,0.481066884,0.112454643,3.47
Indian White Prawn,Penaeus indicus,Crustacean,Penaeidae,Marine,Juveniles are found in estuaries and backwaters (nursery grounds); adults live in coastal marine waters.,Not Evaluated,N/A,Intensive fishing pressure and habitat loss in estuarine nursery areas due to pollution and coastal development,Sustainable fishery management and protecting estuarine ecosystems.,29031.42857,0.143017233,0.153194723,0.654752173,0.515813256,0.302649942,0.494440273,0.171619432,4.69
Tiger Prawn,Penaeus monodon,Giant Tiger Prawn,Penaeidae,Marine,Juveniles use estuaries and mangroves as nursery grounds; adults live in coastal and offshore marine waters.,Not Evaluated,N/A,Intense fishing pressure and habitat loss and pollution of mangrove and estuarine nursery areas,"Sustainable fishing regulations, protection of mangrove habitats, and best practices for aquaculture.",31254.14286,0.150028393,0.168230073,0.476067197,0.409845696,0.237145258,0.332338644,0.115075167,4.13
Mud Crab,Scylla serrata,Crustacean,Portunidae,Brackish,"Brackish/Marine. Found in mangrove forests, estuaries, and muddy coastal areas. Highly valued commercial species.",Not Evaluated,N/A,"Heavy, unregulated fishing pressure and the destruction of mangrove habitats which are essential for the crab","Regulating fishing size limits, especially to protect female crabs. Urgent protection and restoration of mangrove ecosystems.",26919.85714,0.160660375,0.288291464,0.570067578,0.468301653,0.451687755,0.549634672,0.136824604,4.95
Blue Swimming Crab,Portunus pelagicus,Crustacean,Portunidae,Marine,Found in coastal and estuarine waters over sand and mud bottoms. Highly valued commercial species.,Not Evaluated,N/A,"Intense, unregulated fishing pressure and destruction of coastal nursery habitats","Implementing seasonal closures and strict size regulations, especially to protect spawning females. Protecting seagrass and estuarine habitats.",31747.71429,0.088722769,0.24068842,0.637294433,0.440118214,0.409295862,0.703736679,0.111888489,5.09
Octopus,Octopus sp. (General),General,Octopodidae,Marine,"Found in various habitats, including coral reefs, rocky areas, and sandy/muddy bottoms, from intertidal zones to deep water.",Varies widely by species,N/A,"Fishing pressure, often as bycatch but increasingly targeted",Implementing responsible fishing practices; protecting coastal and benthic habitats.,22287.14286,0.126198774,0.193448193,0.6392043,0.458838199,0.459608521,0.770001605,0.102195436,5.31
Squid,Loligo duvaucelii,Indian Squid,Loliginidae,Marine,"Found in coastal and offshore waters over the continental shelf. They are fast-growing, short-lived pelagic predators.",Least Concern,LC,Intense fishing pressure,Regional monitoring of fishing effort and sustainable management plans.,20173.85714,0.145769722,0.194867485,0.539883629,0.545592674,0.416415551,0.269464789,0.122710853,3.05
Green Mussel,Perna viridis,Mollusc,Mytilidae,Marine (Coastal),"Found attached to rocky substrates, jetties, and boat hulls in the intertidal and subtidal zones of coastal waters.",Not Evaluated,N/A,Pollution,Monitoring coastal water quality and promoting sustainable harvesting practices.,15972.28571,0.133879071,0.181202843,0.776988324,0.380852539,0.440302877,0.480188219,0.07864445,4.67
Yellowfin Halfbeak,Hyporhamphus xanthopterus,Marine Fish,Hemiramphidae,Marine,"Found in coastal and estuarine waters, often near the surface.",Data Deficient,DD,Habitat degradation in coastal and estuarine areas is a potential threat,Further research is needed to determine its conservation status and distribution.,29293.71429,0.100594693,0.223289142,0.664808225,0.495147626,0.441217253,0.512079393,0.102579129,4.91
Malabar Sole,Cynoglossus macrostomus,Marine Fish,Cynoglossidae,Marine,A flatfish found on muddy and sandy bottoms in coastal waters.,Least Concern,LC,Trawl fishing pressure can impact stocks and damage benthic habitats,Sustainable management of bottom trawling.,25769.28571,0.200089268,0.167998258,0.547838224,0.446191128,0.331033663,0.476901432,0.143734915,3.09
Eel Catfish,Plotosus lineatus,Striped Catfish,Plotosidae,Marine,"Marine/Brackish. Found in coastal areas, estuaries, and coral reefs. It is a schooling fish and possesses venomous spines.",Least Concern,LC,None major,None specifically needed.,29211.71429,0.130984958,0.199109161,0.519239806,0.493735312,0.463888205,0.512149234,0.182002932,3.45
Ribbonfish,Trichiurus lepturus,Largehead Hairtail,Trichiuridae,Marine,"Found over continental shelves, often in large schools near the bottom or in mid-water.",Least Concern,LC,"Heavy fishing pressure due to high commercial value, often caught by bottom trawling",Monitoring fishing intensity and managing trawl fishing to minimize bycatch and habitat damage.,17903.85714,0.138914301,0.218759279,0.703701927,0.587056173,0.282565745,0.40746512,0.155142121,3.13
Bombay Duck,Harpadon nehereus,Bummalow,Synodontidae,Marine,"Found in coastal waters, estuaries, and offshore. It is a major commercial species, commonly processed and dried.",Least Concern,LC,"Intense fishing pressure, although its rapid growth and abundance make it resilient",Monitoring stock levels to prevent overexploitation.,20826.57143,0.099731066,0.171082304,0.37383692,0.459056029,0.386355106,0.54022014,0.113076072,3.31
Greater Lizardfish,Saurida tumbil,Marine Fish,Synodontidae,Marine,Found on sandy and muddy bottoms of the continental shelf in coastal and deeper waters.,Least Concern,LC,Trawl fishing pressure as it is often caught as bycatch,Sustainable management of bottom trawling.,24568.57143,0.160667077,0.261552758,0.612820563,0.417558777,0.465835148,0.550721452,0.138462456,3.39
Fine,Saurida microlepis,Marine Fish,Synodontidae,Marine,Found on sandy and muddy bottoms of the continental shelf.,Least Concern,LC,Trawl fishing pressure,Sustainable management of bottom trawling activities.,25670.28571,0.110188586,0.213635075,0.658714713,0.585873646,0.563370479,0.567427972,0.116326053,3.86
Malabar Snapper,Lutjanus malabaricus,Marine Fish,Lutjanidae,Marine,Found in coastal and offshore waters near rocky reefs and coral formations.,Near Threatened,NT,Heavy fishing pressure due to its high commercial value,Implementing Marine Protected Areas (MPAs) and enforcing strict size and catch limits.,30033.71429,0.165316935,0.189690388,0.588039931,0.586098753,0.498381337,0.473386516,0.103109482,4.6
Crimson Snapper,Lutjanus erythropterus,Marine Fish,Lutjanidae,Marine,Found on offshore reefs and rocky bottoms.,Least Concern,LC,Fishing pressure as it is a commercially important reef fish,Implementing size limits and protecting reef habitats.,31251.57143,0.100764968,0.19805637,0.454729841,0.624039486,0.431574624,0.455952276,0.133439889,3.52
Grey Mullet,Mugil cephalus,Striped Mullet,Mugilidae,Brackish,"Brackish/Marine. Highly adaptable, found in coastal lagoons, estuaries, and offshore waters. It is an important food fish.",Least Concern,LC,Habitat degradation in estuaries,Protecting and restoring estuarine habitats and managing water quality.,14474.42857,0.112307045,0.199956157,0.531580755,0.590054106,0.450804573,0.425506872,0.079661259,3.44
Largescale Mullet,Liza macrolepis,Marine Fish,Mugilidae,Brackish,"Brackish/Marine. Found in estuaries, lagoons, and coastal waters.",Least Concern,LC,Pollution and habitat degradation in its coastal and estuarine habitats,Reducing coastal pollution and protecting nursery grounds.,22300.28571,0.152005425,0.149213879,0.620933274,0.663235706,0.381210429,0.620822295,0.142812058,3.78
Blue,Valamugil seheli,Marine Fish,Mugilidae,Marine,"Found in coastal and estuarine waters, often entering fresh water.",Least Concern,LC,Overfishing and coastal habitat degradation,Monitoring fishing pressure.,20897.57143,0.129861242,0.235165741,0.716186636,0.497857086,0.438307506,0.589706892,0.172406487,3.54
Indian Threadfin,Polynemus indicus,Marine Fish,Polynemidae,Marine,"Found in coastal waters and estuaries, typically over muddy substrates. It is a large, highly valued food fish.",Vulnerable,VU,Severe overfishing and habitat loss in estuarine nursery areas,Implementing and strictly enforcing fishing quotas and minimum size limits. Protecting estuarine and near-shore habitats.,32216.71429,0.142678457,0.142843543,0.70462732,0.517108924,0.490858151,0.691081908,0.146729021,5.83
Sixfinger Threadfin,Polydactylus sexfilis,Marine Fish,Polynemidae,Marine,"Found in coastal waters, surf zones, and sandy bottoms.",Least Concern,LC,Fishing pressure,Monitoring fishing efforts.,29231.57143,0.157472068,0.249373735,0.58116221,0.506278552,0.518334158,0.471870126,0.115758733,3.49
Silver Sillago,Sillago sihama,Whiting,Sillaginidae,Marine,"Found in coastal waters, estuaries, and shallow sandy or muddy bottoms.",Least Concern,LC,Localized overfishing near coastal areas and habitat degradation of inshore waters and estuaries,Monitoring inshore fishing pressure and protecting estuarine nursery habitats.,26632.28571,0.111376499,0.252100746,0.624394815,0.483216497,0.377238694,0.445541238,0.112041081,3.18
White,Siganus canaliculatus,Marine Fish,Siganidae,Marine,"Found in shallow, coastal waters, seagrass beds, and coral reefs. It is an herbivorous fish.",Least Concern,LC,Habitat destruction of seagrass beds and coral reefs,Protecting key feeding habitats like seagrass beds and reefs.,26561.57143,0.113119316,0.215708887,0.586356926,0.633338966,0.390395628,0.464028885,0.115813815,3.48
Java Rabbitfish,Siganus javus,Marine Fish,Siganidae,Marine,"Found in coastal waters, estuaries, and mangroves, often in turbid water.",Least Concern,LC,Habitat destruction of mangroves and estuaries,Protecting coastal and estuarine habitats.,20964.85714,0.106340722,0.181061428,0.630285138,0.569622303,0.32391525,0.254555239,0.149076729,2.91
Black Bream,Acanthopagrus berda,Black Sea Bream,Sparidae,Brackish,"Brackish/Marine. Highly tolerant of salinity changes; found in coastal waters, estuaries, and even the lower reaches of rivers.",Least Concern,LC,Habitat degradation in estuaries,Protection of estuarine habitats.,24472.14286,0.130050401,0.241329274,0.667422793,0.44493562,0.373319988,0.51051836,0.116131283,3.21
White Grunt,Pomadasys hasta,Silver Grunt,Haemulidae,Marine,"Found in coastal waters, estuaries, and turbid areas, often over sand or mud bottoms.",Least Concern,LC,Overfishing and coastal habitat degradation,Sustainable fishing practices.,30294.14286,0.125514725,0.216446765,0.597728819,0.466351484,0.406969069,0.506653409,0.112876737,3.3
Spotted Grunt,Pomadasys kaakan,Marine Fish,Haemulidae,Marine,"Found in coastal and estuarine waters, often over muddy or sandy bottoms.",Least Concern,LC,Overfishing and coastal pollution,Monitoring fishing efforts in coastal areas.,23920.42857,0.140908687,0.231825743,0.692349121,0.702018738,0.466079021,0.606594894,0.108664333,3.96
Tigertooth Croaker,Otolithes ruber,Marine Fish,Sciaenidae,Marine,"Found in coastal waters, estuaries, and offshore over sand or mud bottoms. Highly valued for its swim bladder (fish maw).",Least Concern,LC,"Intense fishing pressure is the main threat, driven largely by the high value of its swim bladder",Implementing size limits and managing the fishing effort on this stock.,30363.57143,0.091123164,0.181735874,0.614763465,0.648211858,0.364697499,0.495299056,0.103141258,3.51
Jewfish,Pseudosciaena diacanthus (Synonym for Protonibea diacanthus),Blackmouth Croaker,Sciaenidae,Marine,"A large, predatory fish found in coastal and offshore waters, often near estuaries. Prized for its swim bladder and meat.",Near Threatened,NT,Extreme fishing pressure due to the very high commercial value of its swim bladder,"Urgent regional management plans, including size and catch limits, to prevent overfishing of the breeding stock.",27816.42857,0.141499522,0.263967352,0.680143193,0.433499831,0.508548319,0.597318168,0.135246889,4.57
Karut Croaker,Johnius carutta,Marine Fish,Sciaenidae,Marine,"Found in shallow coastal waters and estuaries, often over muddy substrates.",Least Concern,LC,Heavy fishing pressure due to its commercial value,Monitoring coastal fishing activities.,17879.14286,0.115261239,0.144781435,0.647508507,0.47144184,0.367355201,0.56342283,0.130129516,3.34
Marbled Electric Ray,Torpedo marmorata,Marine Fish,Torpedinidae,Marine,Found on sandy or muddy bottoms in coastal waters. Known for its ability to produce electric shocks for defense and stunning prey.,Vulnerable,VU,Bycatch in bottom trawling and gillnet fisheries is the main threat,Reducing fishing efforts in sensitive coastal areas and promoting safer fishing gear.,15051.71429,0.114694375,0.213160971,0.558453367,0.598156883,0.511149558,0.254852918,0.134267732,5.27
Granulated Shovelnose Ray,Rhinobatos granulatus,Marine Fish,Rhinobatidae,Marine,Found on sandy and muddy bottoms in coastal waters and continental shelves.,Vulnerable,VU,"High fishing pressure from trawlers and gillnets, as its slow reproductive rate makes it highly susceptible to overfishing",Implementing conservation measures for elasmobranchs (sharks and rays) and protecting coastal habitats.,28804.14286,0.166033723,0.190012519,0.479350905,0.352007493,0.352953225,0.561069333,0.13007166,5.11
Arabian Houndshark,Mustelus mosis,Marine Fish,Triakidae,Marine,"Found in coastal and shelf waters, usually over sandy or muddy bottoms.",Vulnerable,VU,"Intense fishing pressure from bottom trawling and gillnets, as it is a slow",Implementing and enforcing strict fishing quotas and protected areas.,22115,0.117181197,0.217363536,0.648749499,0.353288744,0.357892155,0.465486633,0.130869801,4.96
Spot,Carcharhinus sorrah,Marine Fish,Carcharhinidae,Marine,Found in coastal waters on the continental and insular shelves.,Vulnerable,VU,Intense fishing pressure due to its valuable fins and meat,Implementing strict fishing quotas and protecting areas important for reproduction.,30061.28571,0.121647554,0.191460686,0.565720632,0.472570535,0.491497992,0.479542942,0.115751689,5.41
Spadenose Shark,Scoliodon laticaudus,Marine Fish,Carcharhinidae,Marine,"A small, schooling shark found in shallow, muddy coastal waters and estuaries.",Near Threatened,NT,High fishing pressure as it,Monitoring fishing pressure and protecting coastal nursery areas.,22638,0.112360491,0.197395108,0.727469867,0.574435044,0.623833528,0.547902696,0.112587681,4.91
Reticulate Whipray,Himantura uarnak,Marine Fish,Dasyatidae,Marine,"Found in coastal waters, estuaries, and coral reefs.",Vulnerable,VU,Heavy fishing pressure and habitat loss of coastal and estuarine environments,Regulating fishing and protecting coastal and estuarine habitats.,28853.28571,0.131452987,0.186322049,0.579469074,0.400330907,0.440384576,0.44785795,0.125184607,5.15
Marbled Balloon Frog,Uperodon systoma,Amphibian,Microhylidae,Freshwater (Terrestrial),"A burrowing frog found in grasslands, scrublands, and agricultural fields near water bodies. Often surfaces during monsoon rains.",Least Concern,LC,Habitat loss due to conversion of grasslands and agricultural areas,None specifically required; it is widespread and adaptable.,18280.28571,0.118484789,0.213474528,0.645830861,0.340543954,0.302312847,0.474218493,0.105253244,2.86
Major Wrinkled Frog,Nyctibatrachus major,Amphibian,Nyctibatrachidae,Freshwater (Endemic),Found exclusively in moist evergreen forests and associated streams of the Western Ghats.,Vulnerable,VU,Habitat loss and fragmentation due to deforestation and land use change,Protecting its specific forest and stream micro-habitats within the Western Ghats.,28169.14286,0.094088035,0.218817982,0.525185415,0.38737063,0.523687473,0.435154683,0.092363805,5.24
Malabar Gliding Frog,Rhacophorus malabaricus,Amphibian,Rhacophoridae,Moist Forest,An arboreal (tree-dwelling) frog found in the tropical moist evergreen forests of the Western Ghats. Known for its ability to glide between trees.,Least Concern,LC,Habitat loss and fragmentation due to the conversion of forests into plantations,Protecting canopy cover and maintaining forest corridors.,30483,0.136125264,0.168243451,0.415625405,0.583233723,0.55408801,0.571545146,0.137398262,3.85
Honnametti Bush Frog,Raorchestes honnametti,Amphibian,Rhacophoridae,Moist Forest (Endemic),Found in montane evergreen and shola forests of the Western Ghats.,Data Deficient,DD,Habitat loss due to climate change affecting high,Urgent habitat protection and further research to determine its range and population size.,16808.71429,0.080266569,0.207808348,0.535156696,0.49632605,0.296585924,0.73824204,0.186555515,5.05
Ornate Narrow,Microhyla ornata,Amphibian,Microhylidae,Freshwater (Terrestrial),"Found in grasslands, cultivated fields, and open forests, breeding in temporary pools.",Least Concern,LC,None major,None specifically needed.,20317.28571,0.157232107,0.188627782,0.813673064,0.463152219,0.40367032,0.558876003,0.132559335,3.38
Freshwater Garfish,Xenentodon cancila,Freshwater Fish,Belonidae,Freshwater,"Found in stagnant or slow-moving water bodies like ponds, canals, and ditches, usually among vegetation.",Least Concern,LC,Habitat loss due to the draining of wetlands and pollution,Protecting wetland habitats.,21944.42857,0.169721655,0.184771652,0.723982146,0.528654015,0.635108543,0.551829533,0.10221202,3.86
Striped Panchax,Aplocheilus lineatus,Freshwater Fish,Aplocheilidae,Freshwater (Ornamental),"Found in slow-moving or stagnant water bodies with vegetation, such as paddy fields and ditches.",Least Concern,LC,Collection for the ornamental fish trade and habitat degradation,Sustainable management of collection for the pet trade.,22026.42857,0.10289726,0.202289072,0.566265167,0.657678717,0.464503894,0.599321924,0.10954579,3.87
Green Panchax,Aplocheilus blockii,Freshwater Fish,Aplocheilidae,Freshwater,"Found in rice fields, ponds, and vegetated streams, often in slightly brackish water near the coast.",Least Concern,LC,Habitat loss and pollution,None specifically needed.,28423,0.143729606,0.196850749,0.656934979,0.578299947,0.385826786,0.662399932,0.096373763,3.71
Soldier Catfish,Osteogeneiosus militaris,Marine Fish,Ariidae,Marine,"Found in coastal waters, estuaries, and brackish lagoons. Known for its venomous dorsal and pectoral spines.",Least Concern,LC,Fishing pressure as it,None specifically required.,15236.42857,0.158009109,0.170109252,0.55812332,0.654386944,0.597985809,0.366478889,0.165649609,3.7
Spotted Sardinella,Amblygaster sirm,Marine Fish,Clupeidae,Marine,"Found in coastal waters, forming large schools.",Least Concern,LC,High fishing pressure,Sustainable fishery management.,24943.42857,0.148056372,0.212244027,0.679126045,0.549964172,0.376112496,0.432090085,0.115675976,3.26
Rainbow Sardine,Dussumieria acuta,Marine Fish,Clupeidae,Marine,"Found in coastal and offshore waters, forming schools.",Least Concern,LC,Heavy fishing pressure,Monitoring stock levels.,32824.28571,0.125560866,0.268227456,0.589105028,0.561101496,0.506222886,0.318065562,0.118318094,3.31
Indian Pellona,Ilisha melastoma,Marine Fish,Pristigasteridae,Marine,Found in coastal waters and estuaries.,Least Concern,LC,Fishing pressure and coastal pollution,Pollution control in coastal areas.,31066.85714,0.137384953,0.225015609,0.613279294,0.562469448,0.399129357,0.456034074,0.216121557,3.36
Deep Pugnose Ponyfish,Secutor ruconius,Marine Fish,Leiognathidae,Marine,"Found in coastal waters, estuaries, and mudflats.",Least Concern,LC,Heavy fishing pressure and coastal habitat degradation,Monitoring stock levels.,20442,0.123653015,0.171313777,0.602890756,0.488796052,0.543010255,0.344450625,0.144221166,3.29
Indian Goatfish,Parupeneus indicus,Marine Fish,Mullidae,Marine,Found over sandy bottoms near coral reefs and rocky areas.,Least Concern,LC,Fishing pressure,None specifically needed.,25777.85714,0.088653303,0.225172661,0.688867147,0.557385838,0.413266077,0.451185222,0.102290221,3.37
Yellowstripe Goatfish,Upeneus vittatus,Marine Fish,Mullidae,Marine,"Found in coastal waters, sand flats, and coral reefs, foraging on the bottom.",Least Concern,LC,"Commercial fishing pressure, particularly from trawling",Monitoring fishing efforts.,23651.85714,0.169151432,0.234440708,0.627288529,0.470547087,0.492883736,0.500636963,0.086202298,3.44
Greater Lizardfish,Saurida tumbil,Marine Fish,Synodontidae,Marine,Found on sandy and muddy bottoms of the continental shelf in coastal and deeper waters.,Least Concern,LC,Trawl fishing pressure as it is often caught as bycatch,Sustainable management of bottom trawling.,35229.57143,0.191122445,0.152438312,0.665652285,0.530287545,0.3543955,0.519491382,0.13514807,3.34
